,ASIN,name,price,merchantInfo,isPrime,customerReview,customerReviewCount,description,byLineInfo,Kindle Store,Kindle eBooks,Literature & Fiction,features,publisher,publication date,language,file size,texttospeech,screen reader,enhanced typesetting,xray,word wise,sticky notes,print length,best sellers rank,simultaneous device usage,page numbers source isbn,Books,Teen & Young Adult,paperback,isbn13,reading age,item weight,dimensions,Children's Books,Comics & Graphic Novels,hardcover,isbn10,lexile measure,grade level,Genre Fiction,Graphic Novels,Animals,Science Fiction & Fantasy,Fantasy,Science Fiction,Adventure,listening length,author,narrator,whispersync for voice,audiblecom release date,program type,version,United States,Family Life,Computers & Technology,"Mystery, Thriller & Suspense",Thrillers & Suspense,Travel,Specialty Travel,"Fairy Tales, Folk Tales & Myths",History & Criticism,Action & Adventure,Mystery,"Activities, Crafts & Games",Children's eBooks,Growing Up & Facts of Life,"Comics, Manga & Graphic Novels",Historical,History,Manga,Crime,Reference,"Writing, Research & Publishing Guides",Light Novels,Magical Realism,Religions,Australia & Oceania,Sea Stories,Science & Math,Biological Sciences,Romance,Short Stories & Anthologies,Audible Books & Originals,Paranormal & Urban,Contemporary,"TV, Movie, Video Game Adaptations",Humor & Entertainment,Epic,Horror,Dark Fantasy,Paranormal,Urban,Erotica,Mythology & Folk Tales,Myths & Legends,Asian,Cultural Heritage,Arts & Photography,Politics & Social Sciences,Politics & Government,Family Saga,LGBTQ+ Books,Women's Fiction,Police Procedurals,Humor & Satire,Dark Humor,Anthologies,Psychological Thrillers,Biographical,Women Sleuths,Cozy,Crafts & Hobbies,mass market paperback,Suspense,Biographies & Memoirs,True Crime,Crime & Criminal Biographies,Traditional Detectives,Coming of Age,International & World Politics,Russia & Soviet Union,Asia,Education & Teaching,Schools & Teaching,Religion & Spirituality,Spirituality,"Arts, Music & Photography",Engineering & Transportation,Engineering,Americas,Medical Books,Medicine,Parenting & Relationships,Military,Education & Reference,Self-Help,Biographies,Philosophy,Social Sciences,Geography & Cultures,Community & Culture,Business & Money,Management & Leadership,New Age & Spirituality,World,Professionals & Academics,"Crafts, Hobbies & Home",Leaders & Notable People,Pets & Animal Care,"Cookbooks, Food & Wine",Regional & International,Spies & Politics,Political,War,Sociology,World Literature,Latino American,Movies,Psychological,Christian Books & Bibles,Sports & Outdoors,"Science, Nature & How It Works",Office Products,Office & School Supplies,"Tape, Adhesives & Fasteners",Psychology,Architecture,Internal Medicine,Pathology,Forensic Medicine,Home Improvement & Design,Specific Topics,Intelligence & Espionage,Mysticism,leather bound,Alien Invasion,Hard Science Fiction,Metaphysical & Visionary,Technothrillers,Space Opera,Social & Family Issues,Family,Superheroes,Dystopian,Themes,Humorous,#1 in kindle singles,Ghosts,Gothic
2,B097QRW24W,a safe house (a stone barrington novel book 61),9.99,,True,4.1,6356.0, ,stuart woods,1.0,1.0,1.0,[],gp putnams sons (march 22 2022),march 22 2022,english,3703 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,300 pages,55719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B0CQ3YCJW8,black summoner: volume 16,7.99,,True,,0.0, ,doufu mayoi,1.0,1.0,1.0,[],jnovel club (march 12 2024),march 12 2024,english,,enabled,,,,,,,95958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B0CLWP6R1J,wings of glory: a uss enterprise naval adventure novel (fightin'est ship in wwii series book 3),,,True,4.5,947.0, ,scott cook,1.0,1.0,1.0,[],spindrift press (november 15 2023),november 15 2023,english,3097 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,260 pages,9142.0,unlimited,b0cn4dztr5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B0CTJ2GWW6,avalon lost: a ya fantasy adventure novel,15.99,,True,3.0,2.0, ,mary rose kreger,,,1.0,[],mrk books (february 8 2024),,english,,,,,,,,,370182.0,,,1.0,1.0,426 pages,9798218337292,12  18 years,118 pounds,55 x 107 x 85 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1338846620,cat kid comic club: collaborations: a graphic novel (cat kid comic club #4): from the creator of dog man,7.55,2nd life books ✅,True,4.8,4402.0, doublecrunchy book o fun captain underpants anniversary dog man #1 cat kid comic club #1 more from dav pilkey the captain underpants doublecrunchy book o fun includes comics puzzles jokes fliporamas and more all in full color celebrate the anniversary of the adventures of captain underpants with a special edition featuring a brand new 32page dog man comic from worldwide bestselling author and artist dav pilkey comes dog man the canine cop whos part dog part man and all hero a pioneering new graphic novel series by dav pilkey the author and illustrator of the internationally bestselling dog man and captain underpants series,dav pilkey,,,,[],graphix (november 29 2022),,english,,,,,,,,,1090.0,,,1.0,,,9781338846621,7  10 years from customers,12 pounds,575 x 075 x 85 inches,1.0,1.0,224 pages,1338846620,gn290l,2  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B0CLV6Y27R,swift and silent: a jesse mcdermitt novel (caribbean adventure series book 27),7.99,,True,,0.0,things in the middle florida keys aren’t as idyllic as they seem if one looks closely there’s a layer of dirt just below the surface the buttugly kind of dirt that’s hard to get offthings move slowly in the keys—locals call it island time—but there are some for whom it seems that time is at a standstill whose clocks revolve only around the tides fish migrations and the rising and setting of the sun and moonjesse mcdermitt remembers the keys the way he’d first found them as a young man he’s lived on his little island in the content keys for a long time and he’s learned to adapt to some of the change but not all of it has been positive and it seems the dirt has a way of finding jesse sticking to his feet like everglades mudis it finally time to go away to completely disappear he has the means and there are places in the world where the dirt hasn’t settled places he’d like to show his wife and familya group of wouldbe yacht thieves attack the wrong boat unleashing a series of events that will ensure their downfall they come when most people are sleeping—under the cover of darkness but nighttime and jesse mcdermitt are old and dear friendsagainst his will and along with his family and friends jesse is thrust back into the struggle between right and wrong one more timeand this time it gets personal ,wayne stinnett,1.0,1.0,1.0,[],down island press (march 1 2024),march 1 2024,english,5815 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,270 pages,12547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B0CQMMBB4K,jubal stone: u.s. marshal: showdown at high plains oasis: a western adventure novel (a jubal stone: u.s. marshal western book 44),,,True,4.5,487.0, ,casey nash,1.0,1.0,1.0,[],ds productions (december 18 2023),december 18 2023,english,1643 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,119 pages,9927.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1338889435,spider-ham: a pig in time,8.99,hpbdiamond,True,5.0,7.0, ,steve foxe,,,,[],graphix (january 2 2024),,english,,,,,,,,,72659.0,,,1.0,,80 pages,9781338889437,6  8 years,85 ounces,58 x 03 x 88 inches,1.0,1.0,,1338889435,gn520l,1  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1974725855,"pokémon adventures: x•y, vol. 1 (1)",8.69,ships from and sold by thriftbooksbaltimore,True,4.8,1181.0,awesome pokémon adventures inspired by the bestselling pokémon x and y video gamesx was a pokémon trainer child prodigy he hated being in the spotlight so he took to hiding in his room and avoiding everyone—including his best friend y but now a surprise attack has brought x out of hidingnow it’s up to x to use the skills that made him champion to defeat the threat looming over vaniville town can the reclusive x and the determined y help their friends ward off two legendary pokémon and the mysterious team flare ,hidenori kusaka,,,,[],viz media llc (january 11 2022),,english,,,,,,,,,136941.0,,,1.0,,304 pages,9781974725854,8  12 years,231 pounds,5 x 1 x 75 inches,1.0,1.0,,1974725855,,3  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1250204038,migrations,11.39,shakespeare book house,True,4.4,11541.0, ,charlotte mcconaghy,,,1.0,[],flatiron books (july 6 2021),,english,,,,,,,,,5691.0,,,1.0,,288 pages,9781250204035,,231 pounds,545 x 075 x 825 inches,,,,1250204038,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1779507895,batman: the adventures continue season one,15.49,ships from and sold by hpbemerald,True,4.7,563.0, ,paul dini,,,,[],dc comics (june 1 2021),,english,,,,,,,,,71585.0,,,1.0,,208 pages,9781779507891,,123 ounces,665 x 043 x 102 inches,,1.0,,1779507895,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B0CV7CTZYT,brothers in guns and dust: a historical western adventure novel,,,True,5.0,6.0, ,henry mcconley,1.0,1.0,1.0,[],regal quill publishing (february 7 2024),february 7 2024,english,3560 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,434 pages,6739.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B0CFHGZYW7,behind enemy lines an explosive action packed military aviation thriller adventure novel (military aviation thrillers),,,True,3.9,76.0, ,richard townshend bickers,1.0,1.0,1.0,[],lume books historical fiction military thrillers (august 11 2023),august 11 2023,english,2747 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,168 pages,341162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B09WW3N1DX,tokyo express: a wwii submarine adventure novel (uss bull shark naval thriller series book 4),,,True,4.6,3132.0, ,scott cook,1.0,1.0,1.0,[],spindrift press (march 29 2022),march 29 2022,english,1916 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,565 pages,18278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B0CNZJHPQG,kill that senator: a western adventure novel (shorty thompson: u.s. marshal: tales of the old west book 125),,,True,4.5,498.0, ,paul l thompson,1.0,1.0,1.0,[],ds productions (november 24 2023),november 24 2023,english,1484 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,132 pages,15031.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0063240246,"warriors: a thief in thunderclan (warriors graphic novel, 4)",9.69,,True,4.7,386.0, ,erin hunter,,,,[],harperalley (june 6 2023),,english,,,,,,,,,9684.0,,,1.0,,208 pages,9780063240247,10+ years from customers,231 pounds,5 x 05 x 75 inches,1.0,,,0063240246,hl430l,3  7,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,164827322X,mushoku tensei: jobless reincarnation (light novel) vol. 13,13.56,,True,4.8,1787.0, ,rifujin na magonote,,,,[],airship (november 16 2021),,english,,,,,,,,,11891.0,,,1.0,,320 pages,9781648273223,,108 ounces,5 x 1 x 71 inches,,,,164827322x,,10  12,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1338796208,the message (animorphs graphix #4) (animorphs graphic novels),12.99,hpbdiamond,True,4.8,57.0, ,k a applegate,,,,[],graphix (december 5 2023),,english,,,,,,,,,25987.0,,,1.0,,208 pages,9781338796209,8  12 years,155 ounces,591 x 047 x 89 inches,1.0,,,1338796208,,3  7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B0CR5Z6B7T,ambush in the dusty mines: a historical western adventure novel,,,True,4.1,33.0, ,derek levine,1.0,1.0,1.0,[],regal quill publishing (december 28 2023),december 28 2023,english,2184 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,461 pages,32956.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B09D7CJRZ7,graceless : a tropical authors novella (tropical adventure series book 1),2.99,,True,4.6,2523.0,tropical authors where adventure meets the water if you love mysteries thrillers and suspense featuring boats planes diving and nautical locations then come see us at tropical authors youll find all the bestselling authors in the genre under one roof with links to their books and audiobooks wherever theyre sold collaborative projects beginning with graceless our authors are collaborating on novels and novellas showcasing their work and promoting the genre look for updates on our website tropical authors where adventure meets the water if you love mysteries thrillers and suspense featuring boats planes diving and nautical locations then come see us at tropical authors youll find all the bestselling authors in the genre under one roof with links to their books and audiobooks wherever theyre sold collaborative projects beginning with graceless our authors are collaborating on novels and novellas showcasing their work and promoting the genre look for updates on our website join our crew for twice monthly newsletters promos from our authors release details fun and interesting stories new authors added all the time,wayne stinnett,1.0,1.0,1.0,[],down island press (february 1 2022),february 1 2022,english,4086 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,176 pages,242482.0,unlimited,1956026053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B07NKD6RNP,fallen palm: a jesse mcdermitt novel (caribbean adventure series book 2),2.99,,True,4.4,9033.0,jesse mcdermitt lives alone on an isolated island in the florida keys where he runs a charter fishing business retired from the marine corps for six years he wants nothing more than to relax fish dive and enjoy the laid back lifestyle of the islandsruss his former platoon sergeant and old friend dies unexpectedly in a mysterious scuba diving accident and jesse becomes suspicious when his friends son comes to south florida to ask jesse if he would take him to a remote reef to spread his fathers ashes the two men discover that russ was murdered and agree to hunt down the psychotic killer together unaware that their manhunt will lead them to a caribbean terrorist cellmeanwhile a beautiful woman has returned to the keys on a manhunt of her own distracting jesse with the idea that he could finally leave his warrior past behind the prospect of finding lost confederate gold several high speed boat chases and dodging demented killers wont stop jesse from revenge surviving a powerful hurricane puts everything on hold as a top secret government agency tries to recruit him into their foldwhen the sun comes back out will jesse be ready ,wayne stinnett,1.0,1.0,1.0,[],down island press 2nd edition (february 8 2019),february 8 2019,english,4349 kb,enabled,supported,enabled,enabled,enabled,on kindle scribe,390 pages,55571.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B08GB58KD5,project hail mary,,,True,4.7,117665.0,winner of the 2022 audie awards audiobook of the yearnumberone audible and new york times audio best sellermore than one million audiobooks solda lone astronaut must save the earth from disaster in this incredible new sciencebased thriller from the numberone new york times bestselling author of the martianryland grace is the sole survivor on a desperate lastchance mission  and if he fails humanity and the earth itself will perishexcept that right now he doesnt know that he cant even remember his own name let alone the nature of his assignment or how to complete itall he knows is that hes been asleep for a very very long time and hes just been awakened to find himself millions of miles from home with nothing but two corpses for companyhis crewmates dead his memories fuzzily returning he realizes that an impossible task now confronts him alone on this tiny ship thats been cobbled together by every government and space agency on the planet and hurled into the depths of space its up to him to conquer an extinctionlevel threat to our speciesand thanks to an unexpected ally he just might have a chancepart scientific mystery part dazzling interstellar journey project hail mary is a tale of discovery speculation and survival to rival the martian  while taking us to places it never dreamed of goingplease note to accommodate this audio edition some changes to the original text have been made with the approval of author andy weir read more ,andy weir,,,,[],audible studios,,english,,,,,,,,,59.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,16 hours and 10 minutes,andy weir,ray porter,ready,may 04 2021,audiobook,unabridged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0593174712,dinosaurs before dark graphic novel (magic tree house (r)),7.54,jenson books inc,True,4.8,643.0,the #1 bestselling chapter book is now a graphic novel magic mystery timetravel get whisked back in time in the magic tree house with jack and anniewhere did the tree house come from before jack and annie can find out the mysterious tree house whisks them to the prehistoric past now they have to figure out how to get home can they do it before darkor will they become a dinosaurs dinnerfor the first time in graphic novellive the adventure again in the very first magic tree house book with new art from comic artists kelly and nichole matthews dinosaurs before dark graphic novel the knight at dawn graphic novel magic tree house graphic novels 12 boxed set the #1 bestselling chapter books are now available as graphic novels after a mysterious tree house whisks jack and annie to the prehistoric past they must figure out how to get home or become a dinosaurs dinner when the magic tree houses sends jack and annie back to the middle ages they find that they arent exactly welcome guests get whisked back in time in the magic tree house with jack and annie in this giftable boxed set,jenny laird,,,1.0,[],random house books for young readers (june 15 2021),,english,,,,,,,,,31157.0,,,1.0,,176 pages,9780593174715,5  8 years from customers,111 ounces,556 x 048 x 825 inches,1.0,,,0593174712,gn110l,1  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1562549065,the adventures of huckleberry finn graphic novel (illustrated classics),11.95,glenthebookseller,True,4.7,22.0, ,mark twain,,,1.0,[],saddleback educational publishing 1st edition (january 1 2007),,english,,,,,,,,,458473.0,,,1.0,,70 pages,9781562549060,12  15 years,56 ounces,575 x 025 x 85 inches,,,,1562549065,gn550l,7  9,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,B0CFHDKSZQ,air strike an explosive action packed military aviation thriller adventure novel (military aviation thrillers),,,True,3.7,106.0,africa the second world war a spitfire groundattack squadron is fighting its way from north africa across sicily and up the length of italyin sicily one of its pilots is shot down to his unquenchable indignation by an american antiaircraft batteryhis formidable squadron commander pays a dramatic call on the american commanding officer from that day on the fortunes of war involve the british airmen and the us artillerymen in the same momentous events the salerno landings the battles for naples and rome and often in the same minor operationsan italian nobleman former italian air force colonel and a mafia capo pursuing their own nefarious purposes take advantage of the chaos of war to manipulate both allied units to their own advantage‘air strike’ is a fastpaced military thriller packed full of explosive action capture escape love and humor all are here in this exciting stronglyplotted story in which fact and fiction are compellingly interwoven praise for richard townshend bickers a thrilling page turner  tom kasey bestselling author of trade offrichard townsend bickers volunteered for the raf on the outbreak of the second world war and served with a permanent commission for eighteen years he wrote a range of military fiction and nonfiction books including ‘torpedo attack’ ‘my enemy came nigh’ ‘bombing run’ and ‘summer of no surrender’ read more ,richard townshend bickers,1.0,1.0,1.0,[],lume books historical fiction military thrillers (august 11 2023),august 11 2023,english,2209 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,228 pages,123292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,B083Y64H85,leave the world behind: a novel,,,True,3.6,18731.0,a read with jenna today show book club pickfinalist for the 2020 national book award (fiction)a best book of the year from the washington post * time * npr * elle * esquire * kirkus * library journal * the chicago public library * the new york public library * bookpage * the globe and mail * ewcom * the la times * usa today * instyle * the new yorker * aarp * publishers lunch * lithub * book marks * electric literature * brooklyn based * the boston globea magnetic novel about two families strangers to each other who are forced together on a long weekend gone terribly wrongfrom the bestselling author of rich and pretty comes a suspenseful and provocative novel keenly attuned to the complexities of parenthood race and class leave the world behind explores how our closest bonds are reshaped—and unexpected new ones are forged—in moments of crisisamanda and clay head out to a remote corner of long island expecting a vacation a quiet reprieve from life in new york city quality time with their teenage son and daughter and a taste of the good life in the luxurious home they’ve rented for the week but a latenight knock on the door breaks the spell ruth and g h are an older couple—it’s their house and they’ve arrived in a panic they bring the news that a sudden blackout has swept the city but in this rural area—with the tv and internet now down and no cell phone service—it’s hard to know what to believeshould amanda and clay trust this couple—and vice versa what happened back in new york is the vacation home isolated from civilization a truly safe place for their families and are they safe from one other read more ,rumaan alam,,,1.0,[],harperaudio,,english,,,,,,,,,4003.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,7 hours and 26 minutes,rumaan alam,marin ireland,ready,october 06 2020,audiobook,unabridged,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1338660454,rise of the shadowfire: a graphic novel (city of dragons #2),11.69,hpbruby,True,4.7,152.0,grace and friends return for a new adventure in this second installment of the bestselling city of dragons seriesever since the battle in hong kong grace and her friends have been trying to find a way to get to paris when nate suddenly appears and whisks grace away to the dragon kings lair she learns that daijiang and his underlings are searching for an ancient relic that will let them subjugate the dragons and grace needs to find it firstwith graces burgeoning hùnxuè powers the team must get to paris and stop daijiangs plan but their new ally dr kim may not be all she appears and daijiang has formidable allies of his own a strangely familiar accomplice and a terrifying powerful dragon that could threaten all of paris wings of fire graphic novel #1 amulet #1 zombie season #1 39 clues graphic novel #1 more great reads for city of dragons fans the new york times bestselling wings of fire series soars to new heights in this firstever graphic novel adaptation the first book in kazu kibuishis #1 new york times bestselling series that features a beautiful but dangerous world of new friends giant robots and shadowy enemies you know the protocol youve completed countless drills yet nothing can truly prepare you for what’s coming no one is ever ready for zombie season minutes before she died grace cahill changed her will leaving her decendants an impossible decision you have a choice  one million dollars or a clue,jaimal yogis,,,,[],graphix (october 17 2023),,english,,,,,,,,,8487.0,,,1.0,,224 pages,9781338660456,8  12 years,103 pounds,598 x 063 x 89 inches,1.0,,,1338660454,gn450l,3  7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,B0CRRWDCQK,jubal stone: u.s. marshal: the drifter: a western adventure novel (a jubal stone: u.s. marshal western book 47),,,True,4.6,320.0, ,casey nash,1.0,1.0,1.0,[],ds productions (january 29 2024),january 29 2024,english,1784 kb,enabled,supported,enabled,not enabled,enabled,on kindle scribe,115 pages,3659.0,unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1496500229,the adventures of tom sawyer (graphic revolve: common core editions),7.67,hpbemerald,True,4.3,96.0, ,mark twain,,,1.0,[],capstone press reissue edition (august 1 2014),,english,,,,,,,,,418015.0,,,1.0,1.0,72 pages,9781496500229,10  14 years,56 ounces,6 x 025 x 9 inches,,,,1496500229,920l,7  9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
